REF_AREA,TIME_PERIOD,Total_Population
ARG,2015,167629891.0
ARG,2016,169483111.0
ARG,2017,171319839.0
ARG,2018,173141026.0
ARG,2019,174948474.0
ARG,2020,176743944.0
ARG,2021,178530175.0
ARG,2022,180310072.0
AUS,2015,95052187.0
AUS,2016,96520313.0
AUS,2017,98118783.0
AUS,2018,99604897.0
AUS,2019,101116535.0
AUS,2020,102436626.0
AUS,2021,102628777.0
AUS,2022,103835342.0
AUT,2015,35055716.0
AUT,2016,35521454.0
AUT,2017,35774345.0
AUT,2018,35980680.0
AUT,2019,36175323.0
AUT,2020,36359203.0
AUT,2021,36511815.0
AUT,2022,36913207.0
BEL,2015,45288408.0
BEL,2016,45529668.0
BEL,2017,45755951.0
BEL,2018,45981671.0
BEL,2019,46222746.0
BEL,2020,46414850.0
BEL,2021,46611478.0
BEL,2022,46970363.0
BGR,2015,29201064.5
BGR,2016,28973740.0
BGR,2017,28744093.5
BGR,2018,28525759.5
BGR,2019,28327089.0
BGR,2020,28161859.0
BGR,2021,27934135.0
BGR,2022,27019539.5
BRA,2015,798030639.0
BRA,2016,805946246.0
BRA,2017,813608781.0
BRA,2018,821309683.0
BRA,2019,828807710.0
BRA,2020,836095477.0
BRA,2021,843137852.0
BRA,2022,849878309.0
CAN,2015,144659028.0
CAN,2016,146285698.0
CAN,2017,148018493.0
CAN,2018,150059775.0
CAN,2019,152168336.0
CAN,2020,153745962.0
CAN,2021,154618139.0
CAN,2022,157347792.0
CHE,2015,33567003.0
CHE,2016,33953743.0
CHE,2017,34286273.0
CHE,2018,34551789.0
CHE,2019,34809583.0
CHE,2020,35072919.0
CHE,2021,35344131.0
CHE,2022,35632657.0
CHL,2015,71207719.0
CHL,2016,72066482.0
CHL,2017,73148085.0
CHL,2018,74544311.0
CHL,2019,76015177.0
CHL,2020,77454497.0
CHL,2021,78373945.0
CHL,2022,79021971.0
CHN,2015,5573869982.0
CHN,2016,5613338351.0
CHN,2017,5650643443.0
CHN,2018,5683273908.0
CHN,2019,5711404242.0
CHN,2020,5734069290.0
CHN,2021,5750453876.0
CHN,2022,5762706942.0
COL,2015,180213866.0
COL,2016,182539094.0
COL,2017,185117404.0
COL,2018,188621601.0
COL,2019,193238846.0
COL,2020,197519596.0
COL,2021,200518305.0
COL,2022,202946872.0
CRI,2015,18912322.04264087
CRI,2016,19171375.033174794
CRI,2017,19420847.04155457
CRI,2018,19659046.43911154
CRI,2019,19892461.457896795
CRI,2020,20116967.09608905
CRI,2021,20335701.70796062
CRI,2022,20548801.46059749
CYP,2015,3403772.0
CYP,2016,3420168.0
CYP,2017,3452886.0
CYP,2018,3495540.0
CYP,2019,3543103.0
CYP,2020,3583334.0
CYP,2021,3617072.0
CYP,2022,3651684.0
CZE,2015,42626578.0
CZE,2016,42674601.0
CZE,2017,42725675.0
CZE,2018,42831088.0
CZE,2019,42970484.0
CZE,2020,43074862.0
CZE,2021,42283342.0
CZE,2022,43314308.0
DEU,2015,333991617.0
DEU,2016,336771915.0
DEU,2017,338134502.0
DEU,2018,339248215.0
DEU,2019,340062486.0
DEU,2020,340317974.0
DEU,2021,340336254.0
DEU,2022,342461235.0
